FID,wall,building,sky,tree,road,sidewalk,earth,mountain,car,streetlight,grass,person,plant,fence,railing,bridge,signboard,van,windowpane,column,awning,bicycle,ashcan,pier,ceiling,water,minibike,chair,lake
2050,0.0,0.0,0.38205100000000003,0.144672,0.014953,0.0,0.0,0.0,2.3e-05,9e-05,0.323984,0.0,0.110547,0.004059,0.0,0.0,0.001898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001535,0.0,0.0,0.0
2051,0.00059,0.001977,0.105152,0.44820299999999996,0.195508,0.000148,0.075488,0.0,0.094309,0.0,0.019847999999999998,0.0,0.0015429999999999999,0.057234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2052,0.0,0.060434,0.315652,0.176082,0.26421100000000003,0.012015999999999999,0.115926,0.0,0.010535,0.002262,0.014738,0.0,0.00046100000000000004,0.001973,0.0,0.0,0.025711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2053,0.001379,0.033094,0.007109000000000001,0.524418,0.279805,0.002848,0.000926,0.0,0.004723,0.0,0.058734,0.000566,0.0,0.086398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2054,0.016753999999999998,0.049688,0.35943400000000003,0.140816,0.253746,0.0061329999999999996,0.022113,0.0,0.10453499999999999,0.0,0.009191,0.0,0.03298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2055,0.000199,0.124465,0.333527,0.08838700000000001,0.293691,0.055234000000000005,0.0,0.0,0.023754,0.0,2.3e-05,0.0,0.023352,0.0,0.0,0.0,0.012605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2056,0.000621,0.165914,0.332723,0.010039,0.394598,0.04684,0.000508,0.0,0.003496,0.004207,0.0,0.002895,0.0,0.0,0.0,0.0,0.001645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2057,0.003168,0.111605,0.378434,0.047281000000000004,0.264258,0.004352,0.0,0.0,0.079715,4e-06,0.030672,0.0,0.024906,0.0,0.0,0.0,0.014426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2058,0.0,0.17168,0.392375,0.00925,0.261816,0.026723,0.0,0.0,0.029026999999999997,0.0,0.008328,0.0,0.007026999999999999,0.08243400000000001,0.0,0.0,0.002438,0.0,0.0,0.0,0.0,0.0,0.007242,0.0,0.0,0.0,0.0,0.0,0.0
2059,0.0025,0.096859,0.346285,0.087848,0.250773,0.041512,0.035953,0.0,0.032609,0.000117,0.0,0.0,0.008945,0.050621,0.0,0.0,0.0033090000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
