ID,Lng,Lat,angle,highway
1715.0,153.0323796466,-27.453471990500002,312.22283278094795,unclassified
1716.0,153.045093,-27.4304378,279.6750509777875,residential
1717.0,153.0446502308,-27.430370445500003,279.6750509777875,residential
1718.0,153.0442074617,-27.430303091,279.6750509777875,residential
1719.0,153.0437646925,-27.430235736500002,279.6750509777875,residential
1720.0,153.04332192340001,-27.4301683819,279.6750509777875,residential
1721.0,153.0148637,-27.4591672,155.2482252635591,primary
1722.0,153.0149937,-27.4598897,117.35683124699742,primary
1723.0,153.0154848,-27.4602149,296.176930010754,primary
1724.0,153.0145195,-27.4330171,98.92521430969211,residential
1725.0,153.0149632191,-27.4330792769,98.92521430969211,residential
1726.0,153.0154069382,-27.4331414538,98.92521430969211,residential
1727.0,153.0105423,-27.431778,98.93441412455509,residential
1728.0,153.01098600790002,-27.4318402412,98.93441412455509,residential
1729.0,153.0114234662,-27.431924912399996,108.98832221023984,residential
1730.0,153.0112837,-27.431882,189.36848713407693,residential
1731.0,153.01121058459998,-27.432277424200002,189.36848713407693,residential
1732.0,153.0111374693,-27.432672847,189.36848713407693,residential
1733.0,153.0350313,-27.4549547,131.87051117149005,tertiary
1734.0,153.0353657481,-27.4552221565,131.8483975873753,tertiary
1735.0,153.0357007124,-27.455489091599997,131.08781022675265,tertiary
1736.0,153.036039244,-27.4557524266,131.08781022675265,tertiary
1737.0,153.0363777755,-27.4560157611,131.08781022675265,tertiary
1738.0,153.0367163071,-27.456279094899998,131.08781022675265,tertiary
1739.0,153.0105279,-27.4299416,279.12699147557186,residential
1740.0,153.0100844291,-27.429878027399997,279.12699147557186,residential
1741.0,153.0096409581,-27.429814454699997,279.12699147557186,residential
1742.0,153.0091974872,-27.429750881900002,279.12699147557186,residential
1743.0,153.00875401620002,-27.429687309200002,279.12699147557186,residential
1744.0,153.0347926,-27.4547679,131.25856676951307,tertiary
1745.0,153.0103657,-27.4307813,101.3791557391217,residential
1746.0,153.0326675,-27.453003,170.6550550914307,unclassified
1747.0,153.0329288499,-27.4533152675,132.99307291594195,unclassified
1748.0,153.0332573927,-27.453588490700003,132.98595057579453,unclassified
1749.0,153.0335859609,-27.453861689,132.98595057579453,unclassified
1750.0,153.020841,-27.4603074,189.602240312824,unclassified
1751.0,153.0207660772,-27.4607024519,189.602240312824,unclassified
1752.0,153.0206911545,-27.461097502399998,189.602240312824,unclassified
1753.0,153.0206162255,-27.4614925505,189.6056987265427,unclassified
1754.0,153.0210742,-27.4570172,250.7790365345454,motorway
1755.0,153.0206479326,-27.4571433346,252.50691585643767,motorway
1756.0,153.02020981040002,-27.4572311222,261.0537029382516,motorway
1757.0,153.0197639861,-27.457278280900002,265.5111778875044,motorway
1758.0,153.0193152841,-27.4572918926,270.17903314881823,motorway
1759.0,153.0333072,-27.4324287,189.51315377770408,residential
1760.0,153.033190911,-27.4328039025,246.15613393186317,residential
