FID,angle,latitude,longitude,wall,ceiling,road,earth,building,sky,tree,sidewalk,person,car,fence,railing,signboard,bridge,minibike,grass,mountain,skyscraper,streetlight,plant,van,column,windowpane,ashcan,awning,bicycle,fountain,water,sculpture,bulletin board,lamp,chair
14058,42.92244544,22.3828845,114.1917582,0.001781,0,0.321387,0,0.071219,0.325773,0.122066,0.011301,0,0.112578,0.002703,0.004727,0.000707,0,0,4.30E-05,0,0,0.000938,0,0,0,0,0,0,0,0,0,0,0,0,0
14059,140.4096939,22.42146194,114.229223,0.017398,0,0.442137,0,0.119,0.082828,0.237656,0.011484,0.00068,0,0.005973,0.019766,0,0,0,0,0,0.047301,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14060,31.55375568,22.39860791,114.2019661,0.025234,0,0.318793,0.000406,0.045477,0.158277,0.119332,0.000172,0,0.01648,8.20E-05,0.019965,0,0.270266,0,0,0,0,0.004922,0.020594,0,0,0,0,0,0,0,0,0,0,0,0
14061,66.50548162,22.37537878,114.1853297,0.005305,0,0.262992,0,0.276762,0.102309,0.15173,0.051062,2.30E-05,0,0.000859,0,0,0,0,0.05223,0,0,0.000465,0.095051,0,0,0,0,0,0,0,0,0,0,0,0
14062,312.7288917,22.4149496,114.2064846,0.068652,0,0.280066,0,0.226516,0.10532,0.206645,0.060086,0,0.010684,0.000105,0,0.002574,0,0,0,0,0,0,0.039352,0,0,0,0,0,0,0,0,0,0,0,0
14063,201.1535843,22.37330819,114.1752083,0.454656,0.182711,0.218422,0,0.023578,0.017078,0.01452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000477,0.023711,0,0,0,0,0,0,0,0,0
14064,72.37835048,22.388343,114.2107142,0.022801,0,0.351207,0.001113,0.241426,0.099902,0.161914,0.032031,0.000289,0.000406,0.010766,0.009773,5.10E-05,0.000938,0,0,0,0,0.001652,0.059535,0,0,0,0,0,0.000785,0,0,0,0,0,0
14065,55.6893043,22.36359559,114.1733769,0,0,0.341723,0,0.304148,0.158418,0.087039,0.065898,0.000477,0.002117,0.026543,0,0,0,0.01316,0,0,0,0.000441,0,0,0,0,0,0,3.50E-05,0,0,0,0,0,0
14066,66.50548162,22.37571185,114.1861535,0,0,0,0,0,0.998758,0,0,0,0,0,0,0.001242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14067,233.8422784,22.37461462,114.1772418,0,0,0.285453,0,0.376488,0.074602,0.01398,0.007488,0.017438,0.102992,0.048277,0,0.013828,0,0,0,0,0.006145,0,0.009004,0,0,0,0,0.035562,0,0,0,0,0,0,0
14068,26.17510582,22.35503989,114.1582628,0,0,0.263871,0.100301,0,0.032195,0.562488,0,0,0.024121,0.015297,0.001727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
